trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.75, 'e': 0.20849246173476124}",20,15,10.628078021496643,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.75, 'e': 0.2064075371174136}",20,3,14.79240650720883,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.75, 'e': 0.2043434617462395}",25,9,-35.45789370029536,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.75, 'e': 0.2023000271287771}",30,11,-16.497358206883618,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.75, 'e': 0.2002770268574893}",30,17,-21.506043539868916,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.75, 'e': 0.19827425658891443}",30,20,18.004993523126913,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.75, 'e': 0.19629151402302528}",35,23,19.854476380220227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.75, 'e': 0.19432859888279502}",20,7,15.297955685863014,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.75, 'e': 0.19238531289396707}",30,8,43.37889352572291,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.75, 'e': 0.1904614597650274}",20,7,11.624801912984028,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.75, 'e': 0.1885568451673771}",30,16,23.1201654366544,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.75, 'e': 0.18667127671570335}",20,4,14.301960685357567,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.75, 'e': 0.1848045639485463}",25,17,13.846299392426413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.75, 'e': 0.18295651830906084}",25,14,23.72739744565565,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.75, 'e': 0.18112695312597024}",20,6,14.696553181477267,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.75, 'e': 0.17931568359471053}",35,23,7.252912432689983,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.75, 'e': 0.17752252675876343}",30,15,11.685685860388793,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.75, 'e': 0.1757473014911758}",20,10,16.86445288807423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.75, 'e': 0.173989828476264}",25,18,6.257803245485263,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 0.1722499301915014}",20,10,1.9811592678143648,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.75, 'e': 0.17052743088958636}",25,8,21.268871509006786,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.75, 'e': 0.1688221565806905}",20,6,26.17650049265884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.1671339350148836}",25,0,13.984861887953752,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
179,False,"{'a': 0.75, 'e': 0.16546259566473476}",25,9,-25.643032660801943,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.75, 'e': 0.16380796970808742}",25,12,-34.13483029859059,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.75, 'e': 0.16216989001100654}",25,12,24.756851241758312,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.75, 'e': 0.16054819111089647}",25,15,11.818286096196744,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.75, 'e': 0.1589427091997875}",30,16,23.29809884610863,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.75, 'e': 0.15735328210778962}",25,13,21.36931140244577,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.75, 'e': 0.15577974928671173}",20,8,-4.271295562210813,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
186,False,"{'a': 0.75, 'e': 0.1542219517938446}",20,6,24.348277834615715,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.75, 'e': 0.15267973227590617}",25,15,-28.625862873819447,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.75, 'e': 0.1511529349531471}",35,5,18.764415549279793,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.75, 'e': 0.14964140560361563}",25,17,-45.23509299361119,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
190,False,"{'a': 0.75, 'e': 0.14814499154757946}",35,3,19.760317311925373,"{0: 29, 1: 1, 2: 2, 3: 0, 4: 0}",1
191,False,"{'a': 0.75, 'e': 0.14666354163210368}",25,18,14.648790462887865,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.75, 'e': 0.14519690621578263}",25,17,5.2905374731455925,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.75, 'e': 0.1437449371536248}",20,8,9.018447875748603,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.75, 'e': 0.14230748778208857}",20,16,6.307769055799971,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.75, 'e': 0.14088441290426768}",20,6,-1.8767198519496657,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.75, 'e': 0.139475568775225}",25,18,13.929681069389126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.75, 'e': 0.13808081308747275}",30,16,17.188484094998206,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.75, 'e': 0.136700004956598}",25,13,22.23704761735429,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.75, 'e': 0.13533300490703204}",25,11,25.975266183488213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.75, 'e': 0.13397967485796172}",20,7,21.375932977961956,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.75, 'e': 0.1326398781093821}",35,22,-0.22483401894497357,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
202,False,"{'a': 0.75, 'e': 0.13131347932828827}",20,8,12.65556853407976,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.75, 'e': 0.1300003445350054}",20,0,15.440426239662655,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
204,False,"{'a': 0.75, 'e': 0.12870034108965533}",20,10,9.639867589024124,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.75, 'e': 0.1274133376787588}",25,13,-68.13630354515432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
206,False,"{'a': 0.75, 'e': 0.12613920430197118}",20,10,-0.6673765150944024,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.75, 'e': 0.12487781225895148}",20,6,13.902739859280977,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.75, 'e': 0.12362903413636196}",25,13,20.23347847977426,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.75, 'e': 0.12239274379499834}",30,20,19.863948766946834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.75, 'e': 0.12116881635704835}",25,13,2.1490796073015748,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
211,False,"{'a': 0.75, 'e': 0.11995712819347787}",25,13,10.224480605795668,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.75, 'e': 0.11875755691154309}",25,8,23.29678851432147,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.75, 'e': 0.11756998134242766}",25,10,8.784921380363633,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.75, 'e': 0.11639428152900338}",20,12,13.406259252233301,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.75, 'e': 0.11523033871371334}",20,12,4.063830731258614,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.75, 'e': 0.1140780353265762}",20,12,16.25405330561891,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.75, 'e': 0.11293725497331045}",35,18,29.940732990432096,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.75, 'e': 0.11180788242357734}",20,3,22.90005883191222,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.75, 'e': 0.11068980359934157}",25,14,-35.25380545777631,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
220,False,"{'a': 0.75, 'e': 0.10958290556334815}",20,0,-13.459789839876137,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
221,False,"{'a': 0.75, 'e': 0.10848707650771466}",25,19,12.739279635318992,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.75, 'e': 0.10740220574263752}",25,13,23.219240461767985,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.75, 'e': 0.10632818368521114}",20,9,18.855783793824564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.75, 'e': 0.10526490184835903}",25,15,6.985388243661307,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.75, 'e': 0.10421225282987544}",30,3,43.32408613612025,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.75, 'e': 0.10317013030157669}",20,11,18.125299905160976,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.75, 'e': 0.10213842899856092}",30,8,29.0395789350096,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.75, 'e': 0.10111704470857531}",30,16,22.70506537564782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.75, 'e': 0.10010587426148955}",25,5,-24.071604677773504,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
230,False,"{'a': 0.75, 'e': 0.09910481551887466}",25,11,24.187087030469236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.75, 'e': 0.0981137673636859}",20,9,22.53803733544669,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.75, 'e': 0.09713262969004904}",20,6,23.71891130007533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.75, 'e': 0.09616130339314856}",20,16,7.433260455838622,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.75, 'e': 0.09519969035921708}",20,0,27.32500600077206,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
235,False,"{'a': 0.75, 'e': 0.0942476934556249}",25,7,16.11937317308712,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.75, 'e': 0.09330521652106866}",25,17,7.721698762393801,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.75, 'e': 0.09237216435585796}",20,6,12.170946884453501,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.75, 'e': 0.09144844271229938}",20,5,28.657446140260213,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.75, 'e': 0.0905339582851764}",20,15,1.3228120977944648,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.75, 'e': 0.08962861870232462}",25,8,21.4100596553407,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.75, 'e': 0.08873233251530138}",30,18,19.965667445957774,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.75, 'e': 0.08784500919014836}",20,12,17.722586762023496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.75, 'e': 0.08696655909824688}",20,7,-17.55503890217897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.75, 'e': 0.0860968935072644}",20,13,13.223630277172651,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.75, 'e': 0.08523592457219176}",20,5,23.260358203963815,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.75, 'e': 0.08438356532646984}",25,15,19.3628689634156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.75, 'e': 0.08353972967320515}",20,15,8.002665714671123,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.75, 'e': 0.0827043323764731}",30,21,17.00800830868121,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.75, 'e': 0.08187728905270836}",20,10,2.944611048315892,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.75, 'e': 0.08105851616218128}",30,10,34.10781648478827,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.75, 'e': 0.08024793100055946}",25,17,12.077766164063428,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.75, 'e': 0.07944545169055386}",25,5,31.700075501156057,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
